Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
20-MAR-2025,20989.35,21092.2,20873.55,21070.05,2316042501,88083.72
21-MAR-2025,21065.25,21297,21031.45,21273.9,3553736048,132525.69
24-MAR-2025,21427.2,21595.85,21346.8,21538.1,2609714689,89496.51
25-MAR-2025,21652.85,21674.05,21385.8,21437.75,2438466361,92187.05
26-MAR-2025,21464.95,21525.6,21255.7,21275.45,2441052565,79571.92
27-MAR-2025,21218.4,21447.9,21195.7,21407.95,4346988667,129094.7
28-MAR-2025,21439.2,21514.1,21277.9,21339.55,2888247046,90757.05
01-APR-2025,21227.1,21398.35,21042.45,21070.75,3960064673,74888.32
02-APR-2025,21101.85,21279.1,21007.15,21265.65,2568917368,67877.01
03-APR-2025,21100.55,21263.45,21096.75,21243.4,2435646555,76388.65
04-APR-2025,21199.2,21212.1,20736.8,20805.35,2537195788,87623.2
07-APR-2025,19524.25,20189.35,19519.85,20105.7,3189917820,107554.03
08-APR-2025,20430.1,20588.4,20227.15,20480.8,2410156143,84031.71
09-APR-2025,20422.95,20423.25,20252.35,20356.75,2068626830,72007.59
11-APR-2025,20684.85,20817.5,20629,20752.85,2214958998,82830.7
15-APR-2025,21199.05,21302.75,21067.6,21279.4,2310441317,88221.07
16-APR-2025,21302.75,21414.85,21246.4,21404.35,2306862681,79704.38
17-APR-2025,21379.35,21704.1,21296.35,21681.55,2452911873,90149.35
21-APR-2025,21787.05,22033.75,21732.45,22005.75,3318620552,91564.24
22-APR-2025,22072,22157.95,21953.4,22085.15,2839952324,94522.17
23-APR-2025,22238.6,22263.85,21988.35,22237.6,2625770895,101379.21
24-APR-2025,22217.65,22270.15,22155.4,22180.65,2434856288,95275.33
25-APR-2025,22220.3,22271.85,21661.6,21848.15,4098236380,99678.14
28-APR-2025,21843.45,22125.45,21841.4,22101.85,2025395201,78912.2
29-APR-2025,22160.75,22255.9,22084.55,22112.4,2189178548,91388.1
30-APR-2025,22119.2,22175,21920.55,22030.05,2190852411,97900.49
02-MAY-2025,22009.95,22238.9,21920.85,22006,2106053122,87309.72
05-MAY-2025,22086.25,22209.95,22070.95,22195.15,1817617225,78635.48
06-MAY-2025,22235.6,22244.5,21916.9,21956.6,2381373406,79384.26
07-MAY-2025,21756.8,22084.7,21752.9,22072.45,2386243472,89673.87
08-MAY-2025,22109.35,22145.2,21730.55,21843.05,2455656286,93122.42
09-MAY-2025,21463.75,21716.05,21463.75,21675.55,2860137749,82661.5
12-MAY-2025,22149.4,22525,22126.4,22511.4,2945351144,91122.42
13-MAY-2025,22491.5,22575.7,22317.5,22349.4,2588028924,100344.03
14-MAY-2025,22402.65,22544.9,22366.4,22499.5,2539598652,99117.63
15-MAY-2025,22547.05,22814.1,22408.65,22788.8,2875837613,110620.39
16-MAY-2025,22825.55,22885.35,22750.35,22870.9,3213675531,132547.9
19-MAY-2025,22896.25,22965.05,22827.65,22865.8,3861105061,96396.98
20-MAY-2025,22942.65,22958.6,22565.55,22585.6,2872955317,99442.63
21-MAY-2025,22632.4,22811.95,22577.4,22730.65,2422786618,83302.61
22-MAY-2025,22674,22675.35,22464.45,22595,2451986784,91345.52
23-MAY-2025,22628.75,22813.25,22580.8,22781.05,2549938267,78693.36
26-MAY-2025,22852.7,22970.7,22845.4,22908.3,2489824846,75238.16
27-MAY-2025,22895.05,22963.1,22721.8,22816.5,2465907563,103402.78
28-MAY-2025,22843.25,22871.2,22765.7,22779.4,3299141014,95277.13
29-MAY-2025,22859.45,22899.15,22750.15,22861.35,2618095254,89813.84
30-MAY-2025,22868.25,22912.3,22759.15,22801.95,5212818401,149673.09
02-JUN-2025,22758.6,22863.35,22664.15,22834.5,3889942785,89672.83
03-JUN-2025,22906.2,22946.15,22691.25,22711.3,4543550869,98343.78
04-JUN-2025,22742.2,22823.95,22667.9,22807.85,3151469831,94653.79
05-JUN-2025,22879.2,23026.3,22828.85,22934.5,2552379535,100542.23
06-JUN-2025,22962,23180.35,22891.6,23165.1,2917887629,107492.95
09-JUN-2025,23308.65,23335.35,23254.55,23330.55,3180558025,93051.43
10-JUN-2025,23422.3,23423.8,23287.35,23339.95,3082009890,94776.63
11-JUN-2025,23376.6,23423.6,23271.4,23337.85,3579625281,96402.11
12-JUN-2025,23363.5,23370.3,23009.65,23046.45,2576209064,91887.39
13-JUN-2025,22631.7,22932.25,22631.7,22906.2,2553330578,86245.25
16-JUN-2025,22914.85,23106.7,22789.4,23095.05,2351850067,73767.57
17-JUN-2025,23126.8,23128.5,22959.15,22981.5,2947987402,86874.43
18-JUN-2025,22937.75,23066.85,22868.35,22925.2,1950770329,75403.48
19-JUN-2025,22921.6,22973.15,22712.55,22763.5,2389378870,74401.91
20-JUN-2025,22760.65,23064.7,22760.6,23041.1,3254963600,140283.69
23-JUN-2025,22880.35,23063.35,22837.8,23001.5,2093700999,76838.45
24-JUN-2025,23212.3,23307.95,23074.25,23113.2,3108757583,95206.77
25-JUN-2025,23216.15,23303.65,23190.85,23296.85,3045279437,83671.28
26-JUN-2025,23341.2,23529.65,23319.85,23517.55,2922694268,98785.87
27-JUN-2025,23566.7,23644.35,23538.55,23620.15,3423284634,135018.53
30-JUN-2025,23672.35,23677.55,23563,23617.2,2461348827,90104.23
01-JUL-2025,23659.75,23669.95,23558.9,23615.45,2565390058,83693.8
02-JUL-2025,23653.05,23669.3,23463.85,23547.25,2620390772,81637.23
03-JUL-2025,23591.8,23647.1,23503.55,23521.85,2357618494,76882.5
04-JUL-2025,23553.45,23570.9,23448.9,23562.45,1879048138,70306.02
07-JUL-2025,23561.6,23595.3,23506.5,23551.2,2422513949,57859.16
08-JUL-2025,23540.6,23600.35,23469.95,23572.55,2930217619,72719.4
09-JUL-2025,23576.45,23613.9,23513.85,23557.45,2348736612,74180.3
10-JUL-2025,23595.85,23605.5,23444.95,23471.4,2022308976,67281.5
11-JUL-2025,23408.8,23462.35,23256.3,23282.7,2231874802,77835.88
14-JUL-2025,23290.15,23329.2,23200.1,23309.05,3997772876,80060.37
15-JUL-2025,23334.55,23469.45,23332.8,23449.15,2709069677,76469.04
16-JUL-2025,23458.9,23502.9,23403.5,23472.5,2858894576,73895.98
17-JUL-2025,23507.65,23514.7,23409.05,23419.7,2195098616,74135.99
18-JUL-2025,23430,23449.45,23240.85,23275.15,1971061232,72305.23
21-JUL-2025,23296.75,23394.5,23184.9,23378.45,1759544320,68107.89
22-JUL-2025,23449.75,23456,23306.4,23320.9,2031812918,80149.39
23-JUL-2025,23382.4,23435.55,23296,23428.4,1995956007,73252.1
24-JUL-2025,23447.35,23449.4,23257.6,23301.1,1969073067,77473.28
25-JUL-2025,23255.25,23255.25,22993,23014.8,2195825744,75633.55
28-JUL-2025,22967.4,23094.85,22818.15,22846.95,2026364448,70338.58
29-JUL-2025,22793,23024.15,22777.7,23007.35,1735802515,73558.17
30-JUL-2025,23064.25,23070.35,22959.45,23033.55,1697161959,68131.28
31-JUL-2025,22804.2,23071.25,22802.15,22914.95,2214101532,87341.83
01-AUG-2025,22901.6,22917.85,22646.75,22673.65,2220917486,76532.28
04-AUG-2025,22699.7,22871.6,22648.6,22860.4,1895803473,67253.57
05-AUG-2025,22869.5,22878.1,22736.05,22798.5,1735090858,70925.06
06-AUG-2025,22807.55,22818.2,22622.35,22666.85,1576344145,69247.01
07-AUG-2025,22563.4,22726.9,22425.85,22694.1,2051703407,79884.39
08-AUG-2025,22680.9,22690.35,22419.7,22443.15,1706464753,81985.79
11-AUG-2025,22447.55,22650.1,22406,22633.45,1538568678,64340.74
12-AUG-2025,22633.65,22730.25,22554.3,22568.6,1512961043,61616.81
13-AUG-2025,22655.15,22733.8,22624.45,22698.1,2094136243,68829.66
14-AUG-2025,22713.65,22754.15,22646.7,22680.25,2056948849,65640.61
18-AUG-2025,22958.3,23040.85,22913.05,22931.5,2389678600,87578.2
19-AUG-2025,22959.5,23077.1,22908.15,23066.6,2325042242,67565.6
20-AUG-2025,23067.7,23171.15,23025.85,23143.15,2925327540,74477.32
21-AUG-2025,23221.75,23230.95,23126.75,23137.15,2342917634,77424.18
22-AUG-2025,23133.85,23144.55,22980.85,22991.3,3223528373,61311.1
25-AUG-2025,23069.3,23106.9,23022.1,23052,2745502008,62192.41
26-AUG-2025,22994.85,23013.05,22746.75,22768.65,4447916261,124368.44
28-AUG-2025,22762.25,22762.25,22529.6,22541.65,2918941120,87203.22
29-AUG-2025,22524.15,22624.7,22443.8,22462.95,2876456343,74820.72
01-SEP-2025,22491.9,22720.55,22491.9,22713.55,2711533790,65828.19
02-SEP-2025,22758.2,22858.2,22678.45,22724.4,2719306900,68531.75
03-SEP-2025,22764,22877.35,22709.2,22864.65,3099428223,72038.77
04-SEP-2025,23116.9,23116.9,22795,22819.65,3011809920,81710.49
05-SEP-2025,22891.75,22916,22718.5,22829.15,3447324689,61225.59
08-SEP-2025,22892.8,22974.85,22835.9,22878.65,2299628386,59253.2
09-SEP-2025,22949.55,22964.05,22893.05,22949.1,2010928320,56901.71
10-SEP-2025,23056.8,23121.75,23027.05,23074.15,2367614060,69349.81
11-SEP-2025,23073.45,23128.55,23065.7,23102.65,2145968911,74196.51
12-SEP-2025,23171.55,23210.4,23129.9,23190.25,2596050320,70672.84
15-SEP-2025,23213.15,23249.2,23182.05,23215.85,3309950844,62955.58
16-SEP-2025,23240.25,23386.65,23217.3,23369.3,2372002424,69438.26
17-SEP-2025,23419.1,23464.4,23395.75,23445.2,2265541425,74653.76
18-SEP-2025,23534.15,23538.9,23434.45,23518.9,2122913596,74945.21
19-SEP-2025,23530.6,23541.3,23451.6,23486.65,4927091950,112953.61