destination_country,destination_region,period,Oil,Coal,Gas
China,China,From 1 January 2023 until 20 September 2025,150471053492.2315,30124649062.245,28410457288.74991
India,India,From 1 January 2023 until 20 September 2025,113865390728.56526,13390728640.821001,230536964.7856
T端rkiye,T端rkiye,From 1 January 2023 until 20 September 2025,59008228111.92742,7878378717.608,20199824385.02812
EU,EU,From 1 January 2023 until 20 September 2025,21563689218.191032,0.0,44171631854.1984
Brazil,Others,From 1 January 2023 until 20 September 2025,18389234184.163174,343036840.55,33619404.4641
Hungary,EU,From 1 January 2023 until 20 September 2025,5796093940.628705,0.0,6958683384.856042
Singapore,Others,From 1 January 2023 until 20 September 2025,12470969177.710827,14741866.949000001,35706761.2
South Korea,South Korea,From 1 January 2023 until 20 September 2025,3025447067.934774,7078661425.734,2278526893.509086
Saudi Arabia,Others,From 1 January 2023 until 20 September 2025,10987996292.472271,0.0,0.0
Slovakia,EU,From 1 January 2023 until 20 September 2025,5586577498.695591,0.0,4080898796.8817787
United Arab Emirates,Others,From 1 January 2023 until 20 September 2025,9327194948.159775,118499969.212,0.0
Taiwan,Others,From 1 January 2023 until 20 September 2025,5192237805.216389,2862422523.945,479052060.08616
Japan,Others,From 1 January 2023 until 20 September 2025,78337368.993297,744472865.5649999,7541568366.844024
France,EU,From 1 January 2023 until 20 September 2025,59799665.449449,0.0,6804880999.946532
Belgium,EU,From 1 January 2023 until 20 September 2025,463305842.29325855,0.0,6070079652.586328
Libya,Others,From 1 January 2023 until 20 September 2025,6269971205.87264,0.0,0.0
Malaysia,Others,From 1 January 2023 until 20 September 2025,4134967060.04133,1752362086.941,0.0
Spain,EU,From 1 January 2023 until 20 September 2025,140975603.14544547,0.0,5592009049.332406
Egypt,Others,From 1 January 2023 until 20 September 2025,4944013661.133345,353286559.074,0.0
Tunisia,Others,From 1 January 2023 until 20 September 2025,5227765845.553274,0.0,0.0
China,China,From beginning of the war until 20 September 2025,196747052105.36005,39846973455.802,37210705447.31547
EU,EU,From beginning of the war until 20 September 2025,105162416792.67526,3483805942.853433,105334304508.44151
India,India,From beginning of the war until 20 September 2025,135073341988.37997,16697397001.716,423722476.5576
T端rkiye,T端rkiye,From beginning of the war until 20 September 2025,72563305476.57646,11103581716.006,30231217013.570095
Germany,EU,From beginning of the war until 20 September 2025,13941332880.546902,728613168.8116301,13935075528.447886
Hungary,EU,From beginning of the war until 20 September 2025,8276158156.928555,839219.9092707376,14534908460.778471
South Korea,South Korea,From beginning of the war until 20 September 2025,6374588894.02035,11449336457.814001,3251427253.5939097
Brazil,Others,From beginning of the war until 20 September 2025,19113116442.193264,560776483.681,33619404.4641
Italy,EU,From beginning of the war until 20 September 2025,9545038239.790546,428665283.251,9258668659.328953
Netherlands,EU,From beginning of the war until 20 September 2025,14894952646.023064,1190007900.252725,3079477186.308006
France,EU,From beginning of the war until 20 September 2025,6321425900.891294,131238190.53999999,12251616848.297691
Belgium,EU,From beginning of the war until 20 September 2025,6503513034.634934,188041029.7399745,9999257817.816051
Slovakia,EU,From beginning of the war until 20 September 2025,8013356049.243677,8573003.267347181,7566782934.74334
Japan,Others,From beginning of the war until 20 September 2025,678121050.989416,2466287348.226,11573152054.098305
United Arab Emirates,Others,From beginning of the war until 20 September 2025,14381795666.259962,180344827.071,0.0
Singapore,Others,From beginning of the war until 20 September 2025,14101999991.199125,14741866.949000001,35706761.2
Saudi Arabia,Others,From beginning of the war until 20 September 2025,12193948003.94597,0.0,0.0
Spain,EU,From beginning of the war until 20 September 2025,1902509736.4508111,306254099.161,9668607395.884365
Taiwan,Others,From beginning of the war until 20 September 2025,5618752166.042333,4216943014.77,1173941690.761623
Poland,EU,From beginning of the war until 20 September 2025,8512317905.654896,263694756.16472575,2146696945.7366626
