"Date","Price","Open","High","Low","Vol.","Change %"
"03-10-2025","21,741.45","21,684.20","21,871.35","21,661.45","11.97M","0.04%"
"01-10-2025","21,733.50","21,511.50","21,786.55","21,511.50","21.74M","1.30%"
"30-09-2025","21,454.25","21,509.05","21,594.25","21,365.90","14.51M","-0.10%"
"29-09-2025","21,475.30","21,543.40","21,740.85","21,443.80","23.50M","-0.15%"
"26-09-2025","21,507.20","21,623.95","21,695.55","21,390.25","34.54M","-2.14%"
"25-09-2025","21,977.70","22,219.65","22,311.15","21,956.25","16.73M","-0.92%"
"24-09-2025","22,180.70","22,291.05","22,321.25","22,166.40","11.10M","-0.53%"
"23-09-2025","22,299.10","22,386.55","22,434.75","22,210.25","12.40M","-0.30%"
"22-09-2025","22,365.75","22,668.95","22,685.45","22,325.50","17.04M","-1.41%"
"19-09-2025","22,686.60","22,636.20","22,716.90","22,580.75","31.64M","0.50%"
"18-09-2025","22,574.35","22,321.90","22,596.90","22,261.20","25.09M","1.50%"
"17-09-2025","22,241.35","22,274.50","22,307.05","22,194.60","14.09M","-0.10%"
"16-09-2025","22,264.55","22,240.00","22,310.90","22,197.10","9.67M","0.30%"
"15-09-2025","22,198.70","22,315.30","22,330.90","22,111.85","12.14M","-0.64%"
"12-09-2025","22,341.20","22,262.40","22,399.25","22,260.45","12.87M","0.53%"
"11-09-2025","22,224.00","22,150.30","22,307.80","22,039.55","16.66M","0.46%"
"10-09-2025","22,122.05","22,110.95","22,201.45","22,026.75","15.15M","0.31%"
"09-09-2025","22,052.65","21,885.25","22,080.40","21,883.55","12.99M","0.86%"
"08-09-2025","21,865.20","21,951.10","22,034.80","21,811.25","10.73M","-0.27%"
"05-09-2025","21,924.80","21,927.35","22,139.85","21,842.20","12.79M","0.04%"
"04-09-2025","21,915.40","22,156.70","22,156.70","21,850.75","11.40M","-0.20%"
"03-09-2025","21,959.60","21,741.25","21,985.20","21,697.20","17.20M","1.10%"